Trial,Stimulus Type, Stimulus File, TrialMskAttn, Speaker Az,Speaker El,Galvo Az,Galvo El,Pointer Az,Pointer El
180,B,BB 200-20k 50ms.16,100,-13.750235,-0.009102,-31.168708,0.273321,11.569500,-49.714004
181,B,BB 200-20k 50ms.16,100,37.147228,-0.008090,27.472017,0.273321,11.569500,30.372923
182,B,BB 200-20k 50ms.16,100,-27.370123,-0.008090,-17.444283,0.273321,11.569500,29.141924
183,B,BB 200-20k 50ms.16,100,38.334291,-0.008090,6.261542,0.273321,11.569500,-49.443372
184,B,BB 200-20k 50ms.16,100,14.805956,-0.009102,29.967367,0.273321,11.569500,-53.041284
185,B,BB 200-20k 50ms.16,100,35.924343,-0.009102,28.719692,0.273321,11.569500,26.913968
186,B,BB 200-20k 50ms.16,100,16.138293,-0.008090,28.719692,0.273321,11.569500,-53.381432
187,B,BB 200-20k 50ms.16,100,-7.414918,-0.008090,-17.444283,0.273321,11.569500,27.357444
188,B,BB 200-20k 50ms.16,100,14.873617,-0.008090,19.985967,0.273321,11.569500,-47.003865
189,B,BB 200-20k 50ms.16,100,-13.704464,-0.008090,-11.205908,0.273321,11.569500,24.045171
190,B,BB 200-20k 50ms.16,100,7.315416,-0.008090,17.490617,0.273321,11.569500,26.802894
191,B,BB 200-20k 50ms.16,100,34.645737,-0.009102,29.967367,0.273321,11.569500,23.606227
192,B,BB 200-20k 50ms.16,100,6.248750,-0.009102,18.738292,0.273321,11.569500,-41.292662
193,B,BB 200-20k 50ms.16,100,-34.846732,-0.008090,-9.958233,0.273321,10.778500,-43.474897
194,B,BB 200-20k 50ms.16,100,21.039781,-0.008090,23.728992,0.273321,10.426500,-42.453466
195,B,BB 200-20k 50ms.16,100,-14.981080,-0.008090,-29.921033,0.273321,10.426500,-42.589995
196,B,BB 200-20k 50ms.16,100,27.291516,-0.008090,37.453417,0.273321,10.426500,-40.539351
197,B,BB 200-20k 50ms.16,100,12.404963,-0.008090,32.462717,0.273321,10.426500,-43.406766
198,B,BB 200-20k 50ms.16,100,-36.090512,-0.008090,-28.673358,0.273321,10.426500,21.211245
199,B,BB 200-20k 50ms.16,100,29.709424,-0.009102,24.976667,0.273321,10.426500,21.644127
200,B,BB 200-20k 50ms.16,100,4.855717,-0.008090,39.948767,0.273321,10.426500,-42.316893
201,B,BB 200-20k 50ms.16,100,24.754205,-0.009102,39.948767,0.273321,10.426500,-41.976041
202,B,BB 200-20k 50ms.16,100,-12.475610,-0.008090,-22.434983,0.273321,10.426500,21.644127
203,B,BB 200-20k 50ms.16,100,30.974099,-0.009102,13.747592,0.273321,10.426500,-37.576966
204,B,BB 200-20k 50ms.16,100,8.710439,-0.008090,16.242942,0.273321,10.426500,23.059981
205,B,BB 200-20k 50ms.16,100,-21.141273,-0.008090,-23.682658,0.273321,10.426500,25.585378
206,B,BB 200-20k 50ms.16,100,-34.844742,-0.008090,-29.921033,0.273321,10.426500,25.364397
207,B,BB 200-20k 50ms.16,100,-11.311432,-0.009102,-33.664058,0.273321,10.426500,24.373673
208,B,BB 200-20k 50ms.16,100,-29.845742,-0.008090,-14.948933,0.273321,10.426500,-41.565696
209,B,BB 200-20k 50ms.16,100,13.578096,-0.008090,31.215042,0.273321,10.426500,-41.839308
210,B,BB 200-20k 50ms.16,100,-16.160183,-0.008090,-28.673358,0.273321,10.426500,15.662693
211,B,BB 200-20k 50ms.16,100,19.810926,-0.009102,24.976667,0.273321,10.426500,9.789895
212,B,BB 200-20k 50ms.16,100,7.472630,-0.009102,37.453417,0.273321,10.426500,-42.043613
213,B,BB 200-20k 50ms.16,100,33.480564,-0.009102,31.215042,0.273321,10.426500,28.471036
214,B,BB 200-20k 50ms.16,100,-11.168148,-0.009102,-13.701258,0.273321,10.426500,29.812939
215,B,BB 200-20k 50ms.16,100,8.523375,-0.009102,36.205742,0.273321,9.371500,-51.545342
216,B,BB 200-20k 50ms.16,100,18.624858,-0.008090,6.261542,0.273321,9.371500,6.399668
217,B,BB 200-20k 50ms.16,100,-37.285536,-0.009102,-27.425683,0.273321,9.371500,13.473305
218,B,BB 200-20k 50ms.16,100,39.579066,-0.008090,5.013867,0.273321,9.371500,-47.139539
219,B,BB 200-20k 50ms.16,100,22.365152,-0.008090,32.462717,0.273321,9.371500,-50.120431
220,B,BB 200-20k 50ms.16,100,4.915418,-0.009102,19.985967,0.273321,9.371500,-46.055387
221,B,BB 200-20k 50ms.16,100,23.514405,-0.009102,21.233642,0.273321,9.371500,8.283870
222,B,BB 200-20k 50ms.16,100,-28.606937,-0.009102,-16.196608,0.273321,9.371500,39.776073
223,B,BB 200-20k 50ms.16,100,32.212904,-0.009102,32.462717,0.273321,9.371500,31.722209
224,B,BB 200-20k 50ms.16,100,-20.019881,-0.008090,-24.930333,0.273321,9.371500,25.144865
225,B,BB 200-20k 50ms.16,100,28.454699,-0.009102,16.242942,0.273321,9.371500,31.947760
226,B,BB 200-20k 50ms.16,100,-19.895503,-0.009102,-14.948933,0.273321,8.668500,32.849895
227,B,BB 200-20k 50ms.16,100,11.010935,-0.009102,33.710392,0.273321,8.668500,-43.611133
228,B,BB 200-20k 50ms.16,100,-31.090517,-0.009102,-13.701258,0.273321,8.668500,-37.714893
229,B,BB 200-20k 50ms.16,100,17.171128,-0.008090,7.509217,0.273321,8.404500,35.340528
230,B,BB 200-20k 50ms.16,100,-27.370123,-0.009102,-37.407083,0.273321,8.404500,38.636557
231,B,BB 200-20k 50ms.16,100,-10.107453,-0.009102,-9.958233,0.273321,8.404500,37.499372
232,B,BB 200-20k 50ms.16,100,-39.906429,-0.008090,-4.967533,0.273321,8.404500,-44.086921
233,B,BB 200-20k 50ms.16,100,-22.512416,-0.008090,-22.434983,0.273321,8.404500,40.802091
234,B,BB 200-20k 50ms.16,100,29.715394,-0.009102,14.995267,0.273321,8.404500,41.372959
235,B,BB 200-20k 50ms.16,100,-31.125343,-0.009102,-33.664058,0.273321,8.404500,39.776073
236,B,BB 200-20k 50ms.16,100,28.531316,-0.009102,36.205742,0.273321,8.404500,41.258781
237,B,BB 200-20k 50ms.16,100,-24.878583,-0.008090,-9.958233,0.273321,8.404500,-44.427088
238,B,BB 200-20k 50ms.16,100,18.577096,-0.008090,26.224342,0.273321,6.647500,32.060583
239,B,BB 200-20k 50ms.16,100,4.939299,-0.008090,5.013867,0.273321,6.647500,31.609480
240,B,BB 200-20k 50ms.16,100,-34.868623,-0.009102,-19.939633,0.273321,6.647500,-51.341414
241,B,BB 200-20k 50ms.16,100,-12.536306,-0.008090,-32.416383,0.273321,6.647500,-47.478694
242,B,BB 200-20k 50ms.16,100,25.920373,-0.009102,38.701092,0.273321,6.647500,41.828387
